marker,mean_orig,mean_rewrite,mean_diff,pct_change,wilcoxon_stat,p_value,significant,cohens_d,direction,p_value_fdr,significant_fdr
causal_markers,2.3367,2.2622,0.0745,-3.19,20598.0,0.18860615019441052,False,0.074,decrease,0.2310425339881529,False
voice_specific_number_density,0.0116,0.0119,-0.0003,2.53,18512.0,0.29362252332573624,False,-0.0579,increase,0.35091472299905063,False
pos_adj_ratio,0.0558,0.0547,0.0011,-1.95,20928.0,0.31706782261317723,False,0.0911,decrease,0.36991245971537345,False
sent_pct_negative,0.2178,0.2121,0.0057,-2.61,19181.0,0.5080678757175736,False,0.0581,decrease,0.5789610676781652,False
sent_max_compound,0.7341,0.7381,-0.004,0.55,17566.5,0.6435477480387255,False,-0.0332,increase,0.716678173952217,False
narr_action_verb_density,0.1378,0.1377,0.0001,-0.06,21777.0,0.6649545757898692,False,0.0059,decrease,0.719288741038817,False
emo_word_density,0.0705,0.0704,0.0,-0.02,21945.0,0.675250654852767,False,0.0011,decrease,0.719288741038817,False
emo_volatility,1.0667,1.0555,0.0112,-1.05,22029.0,0.7165358656081872,False,0.0339,decrease,0.7470267535064079,False
syn_subordination_ratio,1.1179,1.0895,0.0284,-2.54,21558.5,0.8531108538838799,False,0.0592,decrease,0.8708839966731273,False
id,551.4,551.4,0.0,0.0,0.0,1.0,False,0.0,none,1.0,False
